Region,Country,Item Type,Sales Channel,Order Priority,Order ID,Order Date,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Haiti,Cosmetics,Offline,High,505716836,13-10-2013,16-11-2013,1705,437.2,263.33,745426,448977.65,296448.35
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,High,699358165,11-10-2013,25-11-2013,4477,437.2,263.33,1957344.4,1178928.41,778415.99
Sub-Saharan Africa,Gabon,Personal Care,Offline,Low,228944623,08-07-2012,09-07-2012,8656,81.73,56.67,707454.88,490535.52,216919.36
Central America and the Caribbean,Belize,Clothes,Offline,Medium,807025039,25-07-2016,07-09-2016,5498,109.28,35.84,600821.44,197048.32,403773.12
Europe,Lithuania,Office Supplies,Offline,High,166460740,24-10-2010,17-11-2010,8287,651.21,524.96,5396577.27,4350343.52,1046233.75
Sub-Saharan Africa,Madagascar,Clothes,Offline,Low,610425555,25-04-2015,28-05-2015,7342,109.28,35.84,802333.76,263137.28,539196.48
Asia,Turkmenistan,Office Supplies,Online,Medium,462405812,23-04-2013,20-05-2013,5010,651.21,524.96,3262562.1,2630049.6,632512.5
Middle East and North Africa,Libya,Fruits,Online,Low,816200339,14-08-2015,30-09-2015,673,9.33,6.92,6279.09,4657.16,1621.93
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,Critical,585920464,26-05-2011,15-07-2011,5741,47.45,31.79,272410.45,182506.39,89904.06
Sub-Saharan Africa,Djibouti,Cereal,Online,High,555990016,20-05-2017,17-06-2017,8656,205.7,117.11,1780539.2,1013704.16,766835.04
Middle East and North Africa,Pakistan,Cosmetics,Offline,Low,231145322,05-07-2013,16-08-2013,9892,437.2,263.33,4324782.4,2604860.36,1719922.04
North America,Mexico,Household,Offline,Critical,986435210,06-11-2014,12-12-2014,6954,668.27,502.54,4647149.58,3494663.16,1152486.42
Australia and Oceania,Federated States of Micronesia,Beverages,Online,Critical,217221009,28-10-2014,15-11-2014,9379,47.45,31.79,445033.55,298158.41,146875.14
Asia,Laos,Vegetables,Offline,Critical,789176547,15-09-2011,23-10-2011,3732,154.06,90.93,574951.92,339350.76,235601.16
Europe,Monaco,Baby Food,Offline,High,688288152,29-05-2012,02-06-2012,8614,255.28,159.42,2198981.92,1373243.88,825738.04
Australia and Oceania,Samoa,Cosmetics,Online,High,670854651,20-07-2013,07-08-2013,9654,437.2,263.33,4220728.8,2542187.82,1678540.98
Europe,Spain,Household,Offline,Low,213487374,21-10-2012,30-11-2012,4513,668.27,502.54,3015902.51,2267963.02,747939.49
Middle East and North Africa,Lebanon,Clothes,Online,Low,663110148,18-09-2012,08-10-2012,7884,109.28,35.84,861563.52,282562.56,579000.96
Middle East and North Africa,Iran,Cosmetics,Online,High,286959302,15-11-2016,08-12-2016,6489,437.2,263.33,2836990.8,1708748.37,1128242.43
Sub-Saharan Africa,Zambia,Snacks,Online,Low,122583663,04-01-2011,05-01-2011,4085,152.58,97.44,623289.3,398042.4,225246.9
Sub-Saharan Africa,Kenya,Vegetables,Online,Low,827844560,18-03-2012,07-04-2012,6457,154.06,90.93,994765.42,587135.01,407630.41
North America,Mexico,Personal Care,Offline,Low,430915820,17-02-2012,20-03-2012,6422,81.73,56.67,524870.06,363934.74,160935.32
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,Critical,180283772,16-01-2011,21-01-2011,8829,47.45,31.79,418936.05,280673.91,138262.14
Sub-Saharan Africa,The Gambia,Baby Food,Offline,Medium,494747245,03-02-2014,20-03-2014,5559,255.28,159.42,1419101.52,886215.78,532885.74
Middle East and North Africa,Kuwait,Fruits,Online,Medium,513417565,30-04-2012,18-05-2012,522,9.33,6.92,4870.26,3612.24,1258.02
Europe,Slovenia,Beverages,Offline,Critical,345718562,23-10-2016,25-11-2016,4660,47.45,31.79,221117,148141.4,72975.6
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,High,621386563,06-12-2016,14-12-2016,948,651.21,524.96,617347.08,497662.08,119685
Australia and Oceania,Australia,Beverages,Offline,High,240470397,07-07-2014,11-07-2014,9389,47.45,31.79,445508.05,298476.31,147031.74
Middle East and North Africa,Azerbaijan,Office Supplies,Online,Medium,423331391,13-06-2012,24-07-2012,2021,651.21,524.96,1316095.41,1060944.16,255151.25
Europe,Romania,Cosmetics,Online,High,660643374,26-11-2010,25-12-2010,7910,437.2,263.33,3458252,2082940.3,1375311.7
Central America and the Caribbean,Nicaragua,Beverages,Offline,Critical,963392674,08-02-2011,21-03-2011,8156,47.45,31.79,387002.2,259279.24,127722.96
Sub-Saharan Africa,Mali,Clothes,Online,Medium,512878119,26-07-2011,03-09-2011,888,109.28,35.84,97040.64,31825.92,65214.72
Asia,Malaysia,Fruits,Offline,Low,810711038,11-11-2011,28-12-2011,6267,9.33,6.92,58471.11,43367.64,15103.47
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,Critical,728815257,01-06-2016,29-06-2016,1485,154.06,90.93,228779.1,135031.05,93748.05
North America,Mexico,Personal Care,Offline,Medium,559427106,30-07-2015,08-08-2015,5767,81.73,56.67,471336.91,326815.89,144521.02
Sub-Saharan Africa,Mozambique,Household,Offline,Low,665095412,10-02-2012,15-02-2012,5367,668.27,502.54,3586605.09,2697132.18,889472.91
